code,term
10520000,Collodion
13085000,"Concentrate for concentrate for oral spray, suspension"
13001000,Concentrate for concentrate for solution for infusion
10514000,Concentrate for cutaneous solution
50009000,"Concentrate for cutaneous spray, emulsion"
10534000,Concentrate for dip emulsion
10532000,Concentrate for dip solution
10533000,Concentrate for dip suspension
50009300,Concentrate for dispersion for infusion
13139000,Concentrate for dispersion for injection
50009500,Concentrate for emulsion for infusion
13152000,Concentrate for emulsion for injection
10302000,Concentrate for gargle
50009750,Concentrate for intravesical solution
13002000,Concentrate for nebuliser solution
50010000,Concentrate for oral solution
10100500,Concentrate for oral suspension
50011000,Concentrate for oral/rectal solution
13003000,Concentrate for oromucosal solution
50012000,Concentrate for peritoneal dialysis solution
11008000,Concentrate for rectal solution
10535000,Concentrate for solution for fish treatment
11405000,Concentrate for solution for haemodialysis
11213000,Concentrate for solution for infusion
11209000,Concentrate for solution for injection
50079000,Concentrate for solution for injection/infusion
10600500,Concentrate for solution for intraocular irrigation
50013000,Concentrate for solution for intravesical use
50013250,Concentrate for solution for peritoneal dialysis
50013500,Concentrate for spray emulsion
50014000,Concentrate for suspension for infusion
13004000,Concentrate for suspension for injection
13082000,Bee-hive dispersion
12109000,Dispersion
13005000,Dispersion for concentrate for dispersion for infusion
50017500,Dispersion for infusion
50077000,Dispersion for injection
13049000,Dispersion for injection/infusion
13129000,Nebuliser dispersion
13126000,Prolonged-release dispersion for injection
10609000,"Eye drops, prolonged-release"
10307000,Oromucosal drops
10516000,Cutaneous emulsion
50015500,"Cutaneous spray, emulsion"
10408000,Dental emulsion
10531000,Dip emulsion
10706000,"Ear drops, emulsion"
10711000,"Ear spray, emulsion"
10713000,"Ear wash, emulsion"
13008000,Emulsion for emulsion for injection
11211000,Emulsion for infusion
11203000,Emulsion for injection
50021000,Emulsion for injection/infusion
13091000,Emulsion for suspension for injection
10604500,"Eye drops, emulsion"
12111000,Gastroenteral emulsion
50032000,"Inhalation vapour, emulsion"
11803000,Intramammary emulsion
11904000,Intrauterine emulsion
10806000,"Nasal drops, emulsion"
10810000,"Nasal spray, emulsion"
11105000,Nebuliser emulsion
10103000,"Oral drops, emulsion"
10107000,Oral emulsion
10308100,"Oromucosal spray, emulsion"
10539000,Pour-on emulsion
11108000,"Pressurised inhalation, emulsion"
11007000,Rectal emulsion
10542000,Spot-on emulsion
10309100,"Sublingual spray, emulsion"
10545000,Teat dip emulsion
13077000,Urethral emulsion
10907000,Vaginal emulsion
12101000,Denture lacquer
10521000,Medicated nail lacquer
10512000,Cutaneous liquid
11117000,"Inhalation vapour, liquid"
50037750,"Oral drops, liquid"
10104000,Oral liquid
10508000,Shampoo
12102000,Anticoagulant and preservative solution for blood
13078000,Bee-hive solution
11502000,Bladder irrigation
10513000,Cutaneous solution
50015450,Cutaneous solution/concentrate for oromucosal solution
10509000,"Cutaneous spray, solution"
13140000,Cutaneous/oromucosal solution
10406000,Dental solution
10529000,Dip solution
10704000,"Ear drops, solution"
10709000,"Ear spray, solution"
10712000,"Ear wash, solution"
50018000,"Ear/eye drops, solution"
50019500,"Ear/eye/nasal drops, solution"
50020000,"Ear/eye/nose drops, solution"
13041000,Endosinusial solution
11601000,"Endotracheopulmonary instillation, solution"
13042000,Epilesional solution
13159000,"Eye drops, prolonged-release solution"
10604000,"Eye drops, solution"
10610000,Eye lotion
10301000,Gargle
50024000,Gargle/mouthwash
50024500,Gargle/nasal wash
12108000,Gastroenteral solution
10312000,Gingival solution
50081000,Inhalation solution
11114000,"Inhalation vapour, solution"
11801000,Intramammary solution
13044000,Intraocular instillation solution
12111500,Intraperitoneal solution
11902000,Intrauterine solution
11502500,Intravesical solution
50033400,Intravesical solution/solution for injection
12113000,Irrigation solution
13016000,Laryngopharyngeal solution
13017000,"Laryngopharyngeal spray, solution"
10310000,Mouthwash
10804000,"Nasal drops, solution"
50037000,Nasal spray and oromucosal solution
10808000,"Nasal spray, solution"
50037400,"Nasal spray, solution/oromucosal solution"
10811000,Nasal wash
50036500,Nasal/oromucosal solution
50036700,"Nasal/oromucosal spray, solution"
12004000,Nebulisation solution
11101000,Nebuliser solution
10101000,"Oral drops, solution"
10105000,Oral solution
50038500,Oral solution/concentrate for nebuliser solution
50037900,Oral/rectal solution
10305000,Oromucosal solution
10308200,"Oromucosal spray, solution"
50039500,Oromucosal/laryngopharyngeal solution
50040000,Oromucosal/laryngopharyngeal solution/spray
50040500,"Oromucosal/laryngopharyngeal solution/spray, solution"
10537000,Pour-on solution
11106000,"Pressurised inhalation, solution"
13076000,Prolonged-release solution for injection
13128000,Prolonged-release wound solution
11005000,Rectal solution
12115000,Sealant
13100000,Solution for bee-hive dispersion
13080000,Solution for bee-hive solution
13054000,Solution for bee-hive strip
12103000,Solution for blood fraction modification
11209500,Solution for cardioplegia
13107000,Solution for cardioplegia/organ preservation
10414000,Solution for dental cement
11403000,Solution for haemodiafiltration
11404000,Solution for haemodialysis
50057000,Solution for haemodialysis/haemofiltration
11402000,Solution for haemofiltration
11210000,Solution for infusion
50058000,Solution for infusion and oral solution
11201000,Solution for injection
50060000,Solution for injection/infusion
13051000,Solution for injection/skin-prick test
50073500,Solution for intraocular irrigation
50061000,Solution for intraperitoneal use
11501000,Solution for intravesical use
10518000,Solution for iontophoresis
12112000,Solution for organ preservation
11401000,Solution for peritoneal dialysis
12131000,Solution for provocation test
50061500,Solution for sealant
10548000,Solution for skin-prick test
10549000,Solution for skin-scratch test
13061000,Solution for solution for infusion
13033000,Solution for solution for injection
13034000,Solution for spray
13047000,Solution for suspension for injection
50061300,Solution for use in drinking water
13055000,Solution for use in drinking water/milk
10540000,Spot-on solution
12114000,Stomach irrigation
10309200,"Sublingual spray, solution"
10543000,Teat dip solution
50068000,Teat dip/spray solution
10546000,Teat spray solution
10546400,Transdermal solution
10546500,"Transdermal spray, solution"
10905000,Vaginal solution
10608000,"Eye drops, solvent for reconstitution"
10611000,"Eye lotion, solvent for reconstitution"
11216000,Solvent for parenteral use
50076000,Solvent for solution for infusion
50074000,Solvent for solution for intraocular irrigation
13035000,Solvent for...
10510000,"Cutaneous spray, suspension"
10515000,Cutaneous suspension
50015100,Cutaneous/ear drops suspension
10407000,Dental suspension
10530000,Dip suspension
10705000,"Ear drops, suspension"
10710000,"Ear spray, suspension"
50018500,"Ear/eye drops, suspension"
50020200,"Ear/nasal drops, suspension"
50022000,"Endosinusial wash, suspension"
11603000,"Endotracheopulmonary instillation, suspension"
10605000,"Eye drops, suspension"
13133000,Gastro-resistant oral suspension
12110000,Gastroenteral suspension
11303500,Implantation suspension
11802000,Intramammary suspension
11903000,Intrauterine suspension
13045000,Intravesical suspension
13135000,Modified-release oral suspension
10805000,"Nasal drops, suspension"
10809000,"Nasal spray, suspension"
11102000,Nebuliser suspension
13087000,Oculonasal suspension
10102000,"Oral drops, suspension"
13084000,"Oral spray, suspension"
10106000,Oral suspension
50070000,Oral suspension for use in drinking water
50038000,Oral/rectal suspension
10308300,"Oromucosal spray, suspension"
10306000,Oromucosal suspension
10538000,Pour-on suspension
11107000,"Pressurised inhalation, suspension"
13134000,Prolonged-release oral suspension
11208500,Prolonged-release suspension for injection
11006000,Rectal suspension
10541000,Spot-on suspension
10309300,"Sublingual spray, suspension"
13036000,Suspension for emulsion for injection
50063000,Suspension for infusion
11202000,Suspension for injection
13037000,Suspension for oral suspension
13038000,Suspension for spray
13039000,Suspension for suspension for injection
50063500,Suspension for use in drinking water
10544000,Teat dip suspension
10906000,Vaginal suspension
10117000,Syrup
13012000,Gas for dispersion for infusion
13013000,Gas for dispersion for injection
13050000,Gas for dispersion for injection/infusion
11118000,Inhalation gas
50034000,Liquefied gas for dental use
12301000,"Medicinal gas, compressed"
12302000,"Medicinal gas, cryogenic"
12303000,"Medicinal gas, liquefied"
